profile_id,lat,lon,date,day_of_year,sst,t_0,t_5,t_10,t_20,t_30,t_50,t_75,t_100,t_125,t_150,t_200,t_300,t_500,t_700,t_1000
6903140_347,21.9795,62.7636,2025-05-11,131,29.54,,29.505,29.507,29.255,28.944,25.451,24.066,23.715,23.242,22.338,19.581,16.805,13.26,11.434,9.143
6903141_347,23.9013,60.0223,2025-05-11,131,30.34,,30.092,30.089,26.152,24.009,23.549,23.436,23.049,22.233,21.427,21.915,16.707,12.646,10.774,8.533
6903138_351,11.5417,57.0942,2025-05-11,131,30.57,,30.679,30.68,30.578,29.018,26.688,25.346,24.585,21.757,19.365,15.451,13.25,12.732,11.324,8.306
2902306_038,20.87,63.0639,2025-05-11,131,29.37,,29.493,29.495,29.321,28.905,25.852,24.061,23.742,23.11,20.891,18.64,16.52,13.452,11.632,9.334
6990700_013,22.586,59.7735,2025-05-11,131,29.86,,29.788,28.437,25.025,24.175,23.714,23.461,23.399,23.314,22.09,21.294,18.693,13.481,,
2903137_090,8.3532,51.9299,2025-05-11,131,29.54,,30.056,30.054,30.036,29.869,28.356,26.281,22.275,20.896,18.171,15.859,13.542,11.833,9.949,7.646
6903139_351,13.5565,48.1438,2025-05-11,131,30.11,,30.544,29.851,28.723,25.754,24.373,23.413,21.52,19.756,18.825,16.74,14.826,14.61,13.336,10.837
2902766_198,14.515,87.565,2025-05-11,131,31.1,31.434,31.442,31.359,30.833,30.446,28.759,28.017,25.686,21.326,18.699,14.596,11.677,9.987,8.422,6.495
4903775_061,14.2167,91.45,2025-05-11,131,30.42,,31.308,31.23,30.852,30.024,28.547,25.52,21.125,18.387,16.252,13.477,11.537,9.935,8.613,6.795
1902669_061,14.3167,86.2833,2025-05-11,131,31.23,,31.172,31.088,30.3,29.674,28.715,27.574,24.606,21.149,18.223,14.546,11.621,9.841,8.363,6.483
1902671_059,17.7167,68.95,2025-05-11,131,30.87,,30.486,30.368,30.357,30.148,28.831,27.184,24.733,23.841,21.004,18.365,15.279,12.212,10.883,8.817
5907083_061,11.6667,86.6167,2025-05-11,131,31.16,,30.951,30.616,30.156,29.705,28.838,27.696,24.813,20.709,18.07,14.521,11.971,10.128,8.645,6.668
1901897_255,17.3293,61.5723,2025-05-11,131,29.6,,,,,29.666,26.329,25.037,24.347,23.437,22.031,19.247,16.274,13.358,11.531,9.298
